MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2023
00000,United States,,Real personal income,
00000,United States,1,"  Real personal income (millions of constant (2017) dollars)",19404131.7
00000,United States,2,"  Real per capita personal income (constant (2017) dollars) 2",57937
00000,United States,,Regional price parities and implicit price deflator,
00000,United States,3,RPPs: All items,100.000
00000,United States,4,"  RPPs: Goods",99.505
00000,United States,5,"  RPPs: Services: Housing",100.742
00000,United States,6,"  RPPs: Services: Utilities",98.645
00000,United States,7,"  RPPs: Services: Other",100.160
00000,United States,8,Implicit regional price deflator,(NA)
00999,United States (Nonmetropolitan Portion),,Real personal income,
00999,United States (Nonmetropolitan Portion),1,"  Real personal income (millions of constant (2017) dollars)",2324519.9
00999,United States (Nonmetropolitan Portion),2,"  Real per capita personal income (constant (2017) dollars) 2",51039
00999,United States (Nonmetropolitan Portion),,Regional price parities and implicit price deflator,
00999,United States (Nonmetropolitan Portion),3,RPPs: All items,88.222
00999,United States (Nonmetropolitan Portion),4,"  RPPs: Goods",95.260
00999,United States (Nonmetropolitan Portion),5,"  RPPs: Services: Housing",58.954
00999,United States (Nonmetropolitan Portion),6,"  RPPs: Services: Utilities",89.116
00999,United States (Nonmetropolitan Portion),7,"  RPPs: Services: Other",97.050
00999,United States (Nonmetropolitan Portion),8,Implicit regional price deflator,106.299
10180,"Abilene, TX (Metropolitan Statistical Area)",,Real personal income,
10180,"Abilene, TX (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",9418.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",51864
10180,"Abilene, TX (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
10180,"Abilene, TX (Metropolitan Statistical Area)",3,RPPs: All items,89.849
10180,"Abilene, TX (Metropolitan Statistical Area)",4,"  RPPs: Goods",91.935
10180,"Abilene, TX (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",73.614
10180,"Abilene, TX (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",89.077
10180,"Abilene, TX (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",95.265
10180,"Abilene, TX (Metropolitan Statistical Area)",8,Implicit regional price deflator,108.260
10420,"Akron, OH (Metropolitan Statistical Area)",,Real personal income,
10420,"Akron, OH (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",39358.3
10420,"Akron, OH (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",56355
10420,"Akron, OH (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
10420,"Akron, OH (Metropolitan Statistical Area)",3,RPPs: All items,92.827
10420,"Akron, OH (Metropolitan Statistical Area)",4,"  RPPs: Goods",93.316
10420,"Akron, OH (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",77.466
10420,"Akron, OH (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",89.423
10420,"Akron, OH (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.784
10420,"Akron, OH (Metropolitan Statistical Area)",8,Implicit regional price deflator,111.848
10500,"Albany, GA (Metropolitan Statistical Area)",,Real personal income,
10500,"Albany, GA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",6798.7
10500,"Albany, GA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",46724
10500,"Albany, GA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
10500,"Albany, GA (Metropolitan Statistical Area)",3,RPPs: All items,86.405
10500,"Albany, GA (Metropolitan Statistical Area)",4,"  RPPs: Goods",95.911
10500,"Albany, GA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",50.034
10500,"Albany, GA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",85.924
10500,"Albany, GA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",98.049
10500,"Albany, GA (Metropolitan Statistical Area)",8,Implicit regional price deflator,104.111
